,item,item_code
122883,اشک,13955
122908,بحرین,17450
123015,برگرد_شاه,17860
123025,تروریستی,19582
123223,تفاوت,19865
123241,ثبت_در_تاریخ,20529
123267,سپاه_پاسداران,28903
123713,قرآن,34102
123945,مرگ_بر_شاه,36884
123957,نوروز_علوی,39982
124033,هلند,40604
124160,هیچ,41012
124232,کاربر_شایسته_هفته,43589
124254,کارگر,43662
124585,IraiansWantRegimeChange,3609
124605,دلار,24349
125780,IranRegimeChange,3661
126468,SaveArash,6425
126567,آرش_صادقی,11741
126877,دلار۱۸۰۰۰تومانی,24382
126884,سقوط_ریال,28236
126997,فرقه_تبهکار,33239
127590,Hussain,3310
127644,اجتماع_دشمن_شکن,12796
127798,گوشمالی_سخت,45192
127921,FreeZakzaky,2666
127984,shiablooddonors,10749
127995,shiamuslim,10750
128004,سقوط_دلار,28233
128159,Abbas,346
128165,Karbala,4074
128181,Mohammad,4828
128187,ZariaMassacre,8074
128191,khamenei,9744
128202,انتقام_طاها,16008
128262,دلار_نفروشید,24365
128284,سنت_حسنه_ریت,28483
128312,شفافیت_آراء_نمایندگان,29880
128552,عهد_التميمي,32384
128567,فالو,32842
128637,قدم_اول,34091
128641,ویدیو,41675
128670,گندم_ری,45130
128674,یامهدی_ادرکنی,45467
